"Country","NOGOD","IQ","INCOME","INCOME.K","OPEN","OPEN.L","MUSLIM","M","LA","AF","INT1","INT2"
"Poland",0.073,101.5,35150.95,3.515095,112.445595,0.472246950467228,0.02,0,0,0,2.75557640930113,0
"Portugal",0.086,98.3,35315,3.5315,86.17108,0.445633462253741,0.64,0,0,0,2.47670345273066,0
"Qatar",0.01,86.9,95944.38,9.594438,93.04582,0.453309205999433,57.24,1,0,0,18.9159500914808,0
"RepublicofMacedonia",0.013,84.9,16395.75,1.639575,148.46896,0.500037591282526,33.88,0,0,0,0.67215260207299,0
"Romania",0.01,88.6,31641.38,3.164138,87.35839,0.447001908233959,1.02,0,0,0,2.00045868840173,0
"Russia",0.152,96.9,26991.85,2.699185,52.167007,0.395445024525248,11.11,0,0,0,1.13929852422067,0
"Rwanda",0.03,68.3,2316.81,0.231681,53.85225,0.398624418545933,4,0,0,1,0.00852920662647598,0.251678344257791
"SaudiArabia",0.01,81.3,50620.44,5.062044,59.116486,0.40795098364431,84.15,1,0,0,4.26449687831318,0
"Senegal",0.01,70.2,3463.81,0.346381,63.263584,0.414730987134696,95.61,1,0,1,0.0206367400782611,0.267085141586749
"Serbia",0.033,91,19494.01,1.949401,116.76251,0.47601420428429,1.71,0,0,0,0.861077405508856,0
"SierraLeone",0.01,69.1,1612.67,0.161267,58.39083,0.406715885695722,67.58,1,0,1,0.00430202851989766,0.259380129898501
"Singapore",0.165,108.6,88761.15,8.876115,338.30975,0.582396189594481,15.12,0,0,0,26.7228571740977,0
"Slovakia",0.158,95.7,32171.25,3.217125,187.82748,0.523552388194817,0.19,0,0,0,2.8369792613092,0
"Slovenia",0.188,100.7,41586.9,4.15869,160.92023,0.50809087763622,3.47,0,0,0,4.46473710185809,0
"SouthAfrica",0.153,75.2,13185.56,1.318556,56.21798,0.402923663455895,1.72,0,0,1,0.282255690617763,0.255760905572661
"SouthKorea",0.466,102.9,46026.45,4.602645,80.49234,0.438816202461746,0.14,0,0,0,4.0792494898363,0
"Spain",0.21,96.8,40043.34,4.004334,68.381775,0.422510634175668,2.49,0,0,0,2.86243660927763,0
"SriLanka",0.01,70.7,11899.5,1.18995,41.058666,0.371500192202258,9.59,0,0,0,0.195422926323309,0
"Sweden",0.29,99.7,56995.85,5.699585,86.68557,0.446228743394833,6.56,0,0,0,6.46846976775786,0
"Switzerland",0.228,100.3,69432.79,6.943279,130.85081,0.487405781925122,4.97,0,0,0,11.4527712640115,0
